"역종별",2016,2016,2016,2016,2016
"역종별",계,25세이하,26~30세,31~35세,36~40세
"계",682775,139901,124279,167801,250794
"전시근로역",574663,108549,100928,140989,224197
"병역면제",108112,31352,23351,26812,26597
